tariff_id,plan_id,ntc,utility,tariff_group,tou_code,weekpart,tou,tou_description,tou_start_time,tou_end_time,step,public_holiday,time_zone,rate_method,rate_start_date,rate_end_date,rate_dollar_per_uom,uom,dd_from,dd_to,mm_from,mm_to,weekday_from,weekday_to,step_start_uom,step_end_uom
10,,Flexi 5 Day Peak,E,NET-VOL,,WE-Shoulder,Shoulder,Shoulder,7:00,22:00,1,0,AEST,,2018-01-01,9999-12-31,0.2844,KWH,1,31,1,12,5,6,0,9999999999
11,,5 Day Peak + Off Peak + CL,E,NET-VOL,,WE-off-peak,off-peak,Off Peak,0:00,0:00,1,0,AEST,,2018-01-01,9999-12-31,0.27445,KWH,1,31,1,12,5,6,0,9999999999
1003,,retailtou,E,NET-VOL,,,offpeak,offpeak,23:00,1:00,1,,AEST,,2018-01-01,9999-12-31,0.16992,KWH,1,31,1,12,0,4,0,9999999999
1004,,retailtou,E,NET-VOL,,,PEAK,PEAK,16:00,22:00,1,,AEST,,2018-01-01,9999-12-31,0.28104,KWH,1,31,1,12,0,4,0,9999999999
1018,64073648818,NMI64073648818,E,NET-VOL,,WD-peak,peak,Peak,7:00,23:00,1,0,AEST,,2018-01-01,9999-12-31,0.3926,KWH,1,31,1,12,0,4,0,9999999999
1019,64073648818,NMI64073648818,E,NET-VOL,,WD-off-peak,off-peak,Off Peak,23:00,7:00,1,0,AEST,,2018-01-01,9999-12-31,0.185,KWH,1,31,1,12,0,4,0,9999999999
1020,60010678887,NMI60010678887,E,NET-VOL,,ALL,peak,Peak,0:00,0:00,1,0,AEST,,2018-01-01,9999-12-31,0.33902,KWH,1,31,1,12,0,6,0,9999999999
1021,60010488469,NMI60010488469,E,NET-VOL,,ALL,peak,Peak,0:00,0:00,1,0,AEST,,2018-01-01,9999-12-31,0.33902,KWH,1,31,1,12,0,6,0,9999999999
1028,63053161398,NMI63053161398,E,NET-VOL,,WD-peak,peak,Peak,7:00,23:00,1,0,AEST,,2018-01-01,9999-12-31,0.3926,KWH,1,31,1,12,0,4,0,9999999999
1029,63053161398,NMI63053161398,E,NET-VOL,,WD-off-peak,off-peak,Off Peak,0:00,8:00,1,0,AEST,,2018-01-01,9999-12-31,0.185,KWH,1,31,1,12,0,4,0,9999999999
1030,64075358075,NMI64075358075,E,NET-VOL,,WE-off-peak,off-peak,Off Peak,0:00,0:00,1,0,AEST,,2018-01-01,9999-12-31,0.185,KWH,1,31,1,12,5,6,0,9999999999
1031,64075358075,NMI64075358075,E,NET-VOL,,WD-peak,peak,Peak,7:00,23:00,1,0,AEST,,2018-01-01,9999-12-31,0.3926,KWH,1,31,1,12,0,4,0,9999999999
1032,64075358075,NMI64075358075,E,NET-VOL,,WD-off-peak,off-peak,Off Peak,23:00,7:00,1,0,AEST,,2018-01-01,9999-12-31,0.185,KWH,1,31,1,12,0,4,0,9999999999
1033,63056626966,NMI63056626966,E,NET-VOL,,off-peak,off-peak,Off Peak,22:00,1:00,1,0,AEST,,2018-01-01,9999-12-31,0.2045,KWH,1,31,1,12,0,6,0,9999999999
12,,5 Day Peak + Off Peak + CL,E,NET-VOL,,WD-peak,peak,Peak,7:00,23:00,1,0,AEST,,2018-01-01,9999-12-31,0.44836,KWH,1,31,1,12,0,4,0,9999999999
1005,63052655713,NMI63052655713,E,NET-VOL,,WE-off-peak,off-peak,Off Peak,0:00,0:00,1,0,AEST,,2018-01-01,9999-12-31,0.27445,KWH,1,31,1,12,5,6,0,9999999999
1006,63052655713,NMI63052655713,E,NET-VOL,,WD-peak,peak,Peak,7:00,23:00,1,0,AEST,,2018-01-01,9999-12-31,0.44836,KWH,1,31,1,12,0,4,0,9999999999
1007,63052655713,NMI63052655713,E,NET-VOL,,WD-off-peak,off-peak,Off Peak,23:00,7:00,1,0,AEST,,2018-01-01,9999-12-31,0.27445,KWH,1,31,1,12,0,4,0,9999999999
1008,63059277311,NMI63059277311,E,NET-VOL,,WE-off-peak,off-peak,Off Peak,0:00,0:00,1,0,AEST,,2018-01-01,9999-12-31,0.27445,KWH,1,31,1,12,5,6,0,9999999999
1009,63059277311,NMI63059277311,E,NET-VOL,,WD-peak,peak,Peak,7:00,23:00,1,0,AEST,,2018-01-01,9999-12-31,0.44836,KWH,1,31,1,12,0,4,0,9999999999
1010,63059277311,NMI63059277311,E,NET-VOL,,WD-off-peak,off-peak,Off Peak,23:00,7:00,1,0,AEST,,2018-01-01,9999-12-31,0.27445,KWH,1,31,1,12,0,4,0,9999999999
1022,60013996856,NMI60013996856,E,NET-VOL,,ALL,peak,Peak,0:00,0:00,1,0,AEST,,2018-01-01,9999-12-31,0.33902,KWH,1,31,1,12,0,6,0,9999999999
1023,63059792144,NMI63059792144,E,NET-VOL,,ALL,peak,Peak,0:00,0:00,1,0,AEST,,2018-01-01,9999-12-31,0.33902,KWH,1,31,1,12,0,6,0,9999999999
1024,63052844208,NMI63052844208,E,NET-VOL,,WE-off-peak,off-peak,Off Peak,0:00,0:00,1,0,AEST,,2018-01-01,9999-12-31,0.185,KWH,1,31,1,12,5,6,0,9999999999
1039,62038929180,NMI62038929180,E,NET-VOL,,ALL,peak,Peak,0:00,0:00,1,0,AEST,,2018-01-01,9999-12-31,0.33902,KWH,1,31,1,12,0,6,0,9999999999
1044,64077574992,NMI64077574992,E,NET-VOL,,ALL,peak,Peak,0:00,0:00,1,0,AEST,,2018-01-01,9999-12-31,0.33902,KWH,1,31,1,12,0,6,0,9999999999
1045,60013477070,NMI60013477070,E,NET-VOL,,ALL,peak,Peak,0:00,0:00,1,0,AEST,,2018-01-01,9999-12-31,0.33902,KWH,1,31,1,12,0,6,0,9999999999
1046,63060179838,NMI63060179838,E,NET-VOL,,ALL,peak,Peak,0:00,0:00,1,0,AEST,,2018-01-01,9999-12-31,0.33902,KWH,1,31,1,12,0,6,0,9999999999
1047,62038531376,NMI62038531376,E,NET-VOL,,off-peak,off-peak,Off Peak,22:00,1:00,1,0,AEST,,2018-01-01,9999-12-31,0.2045,KWH,1,31,1,12,0,6,0,9999999999
1048,62038531376,NMI62038531376,E,NET-VOL,,off-peak,off-peak,Off Peak,1:00,7:00,1,0,AEST,,2018-01-01,9999-12-31,0.2045,KWH,1,31,1,12,0,6,0,9999999999
1069,,microgrid-default,E,NET-VOL,,ALL,peak,Peak,0:00,0:00,1,0,AEST,,2018-01-01,9999-12-31,0.43902,KWH,1,31,1,12,0,6,0,9999999999
1070,,microgrid-tou,E,NET-VOL,,WE-off-peak,off-peak,Off Peak,0:00,0:00,1,0,AEST,,2018-01-01,9999-12-31,0.27445,KWH,1,31,1,12,5,6,0,9999999999
1071,,microgrid-tou,E,NET-VOL,,WD-peak,peak,Peak,7:00,23:00,1,0,AEST,,2018-01-01,9999-12-31,0.44836,KWH,1,31,1,12,0,4,0,9999999999
1059,63053161398,NMI63053161398,E,NET-VOL,,WE-off-peak,off-peak,Off Peak,0:00,0:00,1,0,AEST,,2018-01-01,9999-12-31,0.185,KWH,1,31,1,12,5,6,0,9999999999
1061,63053161398,NMI63053161398,E,NET-VOL,,WD-off-peak,off-peak,Off Peak,23:00,7:00,1,0,AEST,,2018-01-01,9999-12-31,0.185,KWH,1,31,1,12,0,4,0,9999999999
1062,63058456428,NMI63058456428,E,NET-VOL,,WE-off-peak,off-peak,Off Peak,0:00,0:00,1,0,AEST,,2018-01-01,9999-12-31,0.185,KWH,1,31,1,12,5,6,0,9999999999
1063,63058456428,NMI63058456428,E,NET-VOL,,WD-peak,peak,Peak,7:00,23:00,1,0,AEST,,2018-01-01,9999-12-31,0.3926,KWH,1,31,1,12,0,4,0,9999999999
1064,63058456428,NMI63058456428,E,NET-VOL,,WD-off-peak,off-peak,Off Peak,23:00,7:00,1,0,AEST,,2018-01-01,9999-12-31,0.185,KWH,1,31,1,12,0,4,0,9999999999
1065,62037597351,NMI62037597351,E,NET-VOL,,WE-off-peak,off-peak,Off Peak,0:00,0:00,1,0,AEST,,2018-01-01,9999-12-31,0.185,KWH,1,31,1,12,5,6,0,9999999999
1066,62037597351,NMI62037597351,E,NET-VOL,,WD-peak,peak,Peak,7:00,23:00,1,0,AEST,,2018-01-01,9999-12-31,0.3926,KWH,1,31,1,12,0,4,0,9999999999
1067,62037597351,NMI62037597351,E,NET-VOL,,WD-off-peak,off-peak,Off Peak,23:00,7:00,1,0,AEST,,2018-01-01,9999-12-31,0.185,KWH,1,31,1,12,0,4,0,9999999999
1068,,microgrid-flat,E,NET-VOL,,ALL,peak,Peak,0:00,0:00,1,0,AEST,,2018-01-01,9999-12-31,0.33902,KWH,1,31,1,12,0,6,0,9999999999
13,,5 Day Peak + Off Peak + CL,E,NET-VOL,,WD-off-peak,off-peak,Off Peak,23:00,7:00,1,0,AEST,,2018-01-01,9999-12-31,0.27445,KWH,1,31,1,12,0,4,0,9999999999
